Title,Rating,Certified by GYG,Duration (Days),Duration (Hours),Duration,Remaining Hours,Price (IDR) Rounded,Price per Hour,Duration Segment,Price Segment
London: The FRIENDS™ Experience Entry Ticket,4.7,No,0.0,0.96,0d 0h,0.96,577000,601190.625,0-10 Hours,500K - 1M (Mid)
1-Hour Guided Tour of the Royal Albert Hall,4.8,No,0.0,0.96,0d 0h,0.96,462000,480952.0833333334,0-10 Hours,0 - 500K (Low)
London: Great British Afternoon Tea Bus Tour,4.7,No,0.0,1.44,0d 1h,1.44,1090000,756698.6111111111,0-10 Hours,1M - 5M (High)
From London: Downton Abbey and Village Coach Tour,4.7,No,0.0,9.120000000000001,0d 9h,9.120000000000001,3578000,392356.0307017543,0-10 Hours,1M - 5M (High)
London: Comedy Horror Ghost Tour on a Bus,4.3,No,0.0,0.96,0d 0h,0.96,646000,673333.3333333334,0-10 Hours,500K - 1M (Mid)
DreamWorks Shrek's Adventure Tour,4.3,No,0.0,1.2000000000000002,0d 1h,1.2000000000000002,485000,403999.99999999994,0-10 Hours,0 - 500K (Low)
London: Private travel vacation photoshoot -Romantic Special,4.9,No,0.0,0.24,0d 0h,0.24,2304000,9598162.5,0-10 Hours,1M - 5M (High)
Stonehenge & Bath: Full-Day Coach Tour from London,4.5,Yes,0.0,10.08,0d 10h,10.08,1943000,192724.50396825396,10-24 Hours (Around 1 Day),1M - 5M (High)
Professional Customisable Photoshoot in London,4.9,No,0.0,0.96,0d 0h,0.96,1847000,1923810.4166666667,0-10 Hours,1M - 5M (High)
Warner Bros. Studio Tour and Morning Train Ticket,4.7,No,1.0,24.0,1d 0h,0.0,2752000,114659.08333333333,10-24 Hours (Around 1 Day),1M - 5M (High)
Tower of London: Early Access with Crown Jewels & Beefeaters,4.4,No,0.0,1.44,0d 1h,1.44,1783000,1238023.6111111112,0-10 Hours,1M - 5M (High)
London: Warner Bros. Studio Tour and River Thames Cruise,4.7,No,1.0,24.0,1d 0h,0.0,1951000,81280.95833333333,10-24 Hours (Around 1 Day),1M - 5M (High)
From London: Oxford and Cotswolds Villages Day Trip,4.6,No,0.0,10.08,0d 10h,10.08,2285000,226734.72222222222,10-24 Hours (Around 1 Day),1M - 5M (High)
The Original London Street Art Tour (French),4.9,No,0.0,1.44,0d 1h,1.44,462000,320634.72222222225,0-10 Hours,0 - 500K (Low)
From London: Seven Sisters and Brighton Full-Day Tour,4.8,No,0.0,9.120000000000001,0d 9h,9.120000000000001,2285000,250601.53508771927,0-10 Hours,1M - 5M (High)
London Transport Museum Entrance Ticket,4.5,No,1.0,24.0,1d 0h,0.0,566000,23566.666666666668,10-24 Hours (Around 1 Day),500K - 1M (Mid)
London: Street Art and Graffiti Guided Walking Tour,4.8,No,0.0,1.92,0d 1h,1.92,462000,240476.0416666667,0-10 Hours,0 - 500K (Low)
From London: Full-Day Cotswolds Group Tour,4.4,No,0.0,10.08,0d 10h,10.08,1778000,176349.20634920636,10-24 Hours (Around 1 Day),1M - 5M (High)
Paradox Museum Entry Ticket,4.0,No,0.0,1.44,0d 1h,1.44,577000,400793.75,0-10 Hours,500K - 1M (Mid)
London: Houses of Parliament Ticket & Political London,4.5,No,0.0,1.44,0d 1h,1.44,841000,584236.1111111111,0-10 Hours,500K - 1M (Mid)
London By Night: Illuminated River Official Boat Tour,3.3,No,0.0,0.72,0d 0h,0.72,339000,471333.3333333334,0-10 Hours,0 - 500K (Low)
London Instagram tour with a private photographer,5.0,No,0.0,0.96,0d 0h,0.96,4006000,4173114.5833333335,0-10 Hours,1M - 5M (High)
From London: Stonehenge and Oxford Day Tour With Admission,4.8,No,0.0,11.040000000000001,0d 11h,11.040000000000001,1824000,165196.73913043475,10-24 Hours (Around 1 Day),1M - 5M (High)
London's West End: Ticket to Moulin Rouge! The Musical,5.0,No,0.0,2.4000000000000004,0d 2h,2.4000000000000004,522000,217390.41666666663,0-10 Hours,500K - 1M (Mid)
From London: Paris Day Trip with Lunch on Eiffel Tower,4.4,No,0.0,13.919999999999998,0d 13h,13.919999999999998,7359000,528633.117816092,10-24 Hours (Around 1 Day),> 5M (Premium)
London River Thames Lunch Cruise,4.5,Yes,0.0,1.6800000000000002,0d 1h,1.6800000000000002,1131000,673333.3333333333,0-10 Hours,1M - 5M (High)
From London: Stonehenge Half-Day Trip with Snack Pack Option,4.4,Yes,0.0,6.48,0d 6h,6.48,1496000,230857.25308641975,0-10 Hours,1M - 5M (High)
London: East End Street Art Tour and Spray Painting Workshop,4.8,No,0.0,3.5999999999999996,0d 3h,3.5999999999999996,779000,216428.61111111112,0-10 Hours,500K - 1M (Mid)
"London: London Eye, River Cruise, & Hop-on Hop-off Bus Tour",4.3,No,1.0,36.0,1d 12h,12.0,1385000,38476.194444444445,1-3 days (short trip),1M - 5M (High)
Jeff Wayne's The War of The Worlds: The Immersive Experience,4.7,No,0.0,1.92,0d 1h,1.92,792000,412657.2916666667,0-10 Hours,500K - 1M (Mid)
London: Bar and Club Crawl to 5 Central London Venues,4.4,No,0.0,6.0,0d 6h,6.0,586000,97729.5,0-10 Hours,500K - 1M (Mid)
British Museum Guided Tour with Priority Timeslots,4.9,No,0.0,1.92,0d 1h,1.92,923000,480832.2916666667,0-10 Hours,500K - 1M (Mid)
London: Victoria and Albert Museum Entry with Guided Tour,3.4,No,0.0,1.44,0d 1h,1.44,462000,320634.72222222225,0-10 Hours,0 - 500K (Low)
London: Harry Potter Walking Tour in German,4.8,No,0.0,2.4000000000000004,0d 2h,2.4000000000000004,346000,144285.8333333333,0-10 Hours,0 - 500K (Low)
"London: Oxford, Stratford, Cotswolds, and Warwick Day Trip",4.4,No,0.0,10.08,0d 10h,10.08,1766000,175204.16666666666,10-24 Hours (Around 1 Day),1M - 5M (High)
"London: Big Bus Hop-on, Hop-off with Optional River Cruise",4.2,Yes,1.0,36.0,1d 12h,12.0,669000,18596.833333333332,1-3 days (short trip),500K - 1M (Mid)
Royal Museums Greenwich Day Pass,4.5,No,0.0,6.0,0d 6h,6.0,785000,130819.0,0-10 Hours,500K - 1M (Mid)
Lift 109 Entry Ticket at Battersea Power Station,4.5,No,0.0,0.96,0d 0h,0.96,392000,408809.375,0-10 Hours,0 - 500K (Low)
London: Oxford Tour with Christ Church & Bodleian Library,5.0,No,0.0,10.08,0d 10h,10.08,2886000,286281.25,10-24 Hours (Around 1 Day),1M - 5M (High)
"Buckingham Palace, Westminster Abbey & Big Ben Tour",4.7,No,0.0,5.04,0d 5h,5.04,1570000,311474.00793650793,0-10 Hours,1M - 5M (High)
Bicester Village Shopping Trip from London with VIP Discount,3.8,No,0.0,7.92,0d 7h,7.92,831000,104935.10101010102,0-10 Hours,500K - 1M (Mid)
From London: Cotswolds Villages Small Group Day Tour,4.5,No,0.0,9.120000000000001,0d 9h,9.120000000000001,2055000,225288.26754385963,0-10 Hours,1M - 5M (High)
Buffalo Trace Distillery: Elevated Whiskey Experience,5.0,No,0.0,0.96,0d 0h,0.96,808000,841426.0416666667,0-10 Hours,500K - 1M (Mid)
London: London in WW2 and Churchill War Rooms Entrance,4.9,No,0.0,2.88,0d 2h,2.88,1731000,601190.625,0-10 Hours,1M - 5M (High)
London: Moorgate Hidden Tube Station Tour,4.4,No,0.0,1.44,0d 1h,1.44,1039000,721428.4722222222,0-10 Hours,1M - 5M (High)
Harry Potter Walking Tour Including New College,4.6,No,0.0,1.44,0d 1h,1.44,692000,480792.3611111111,0-10 Hours,500K - 1M (Mid)
Oxford: University and City Walking Tour with Alumni Guide,4.7,No,0.0,6.0,0d 6h,6.0,692000,115390.16666666667,0-10 Hours,500K - 1M (Mid)
Oxford: University Walking Tour with Christ Church Visit,4.6,No,0.0,6.48,0d 6h,6.48,1847000,284973.3024691358,0-10 Hours,1M - 5M (High)
